,date,code,gene_name,file_name,path,sample_code,random_num,data_num
0,20200427,ZSHC,cytb,ZSHC-2020-07_L14995-H16065_C2291.L14995.PW005090042.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/cytb/良好/ZSHC-2020-07_L14995-H16065_C2291.L14995.PW005090042.seq,ZSHC-2020-07,40749,ZSHCcytb2020042740749
1,20200427,ZSHC,cytb,ZSHC-2020-04_L14995-H16065_C2291.L14995.PW005090036.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/cytb/良好/ZSHC-2020-04_L14995-H16065_C2291.L14995.PW005090036.seq,ZSHC-2020-04,26039,ZSHCcytb2020042726039
2,20200427,ZSHC,cytb,ZSHC-2020-02_L14995-H16065_C2291.L14995.PW005090028.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/cytb/良好/ZSHC-2020-02_L14995-H16065_C2291.L14995.PW005090028.seq,ZSHC-2020-02,37879,ZSHCcytb2020042737879
3,20200427,JYCS,cytb,JYCS2020-03_L14995-H16065_C2291.L14995.PW005090023.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/cytb/良好/JYCS2020-03_L14995-H16065_C2291.L14995.PW005090023.seq,JYCS2020-03,76260,JYCScytb2020042776260
4,20200427,ZSHC,cytb,ZSHC-2020-03_L14995-H16065_C2291.L14995.PW005090032.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/cytb/良好/ZSHC-2020-03_L14995-H16065_C2291.L14995.PW005090032.seq,ZSHC-2020-03,84663,ZSHCcytb2020042784663
5,20200427,ZSHC,cytb,ZSHC-2020-08_L14995-H16065_C2291.L14995.PW005090020.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/cytb/良好/ZSHC-2020-08_L14995-H16065_C2291.L14995.PW005090020.seq,ZSHC-2020-08,84923,ZSHCcytb2020042784923
6,20200427,ZSHC,cytb,ZSHC-2020-06_L14995-H16065_C2291.L14995.PW005090040.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/cytb/良好/ZSHC-2020-06_L14995-H16065_C2291.L14995.PW005090040.seq,ZSHC-2020-06,56880,ZSHCcytb2020042756880
7,20200427,JYCS,cytb,JYCS2020-02_L14995-H16065_C2291.L14995.PW005090019.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/cytb/良好/JYCS2020-02_L14995-H16065_C2291.L14995.PW005090019.seq,JYCS2020-02,20415,JYCScytb2020042720415
8,20200427,ZSHC,cytb,ZSHC-2020-05_L14995-H16065_C2291.L14995.PW005090038.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/cytb/双峰/ZSHC-2020-05_L14995-H16065_C2291.L14995.PW005090038.seq,ZSHC-2020-05,51629,ZSHCcytb2020042751629
9,20200427,ZSHC,COI-1,ZSHC-2020-02_COI-1_C2291.COI-1-bird-F.PW005090027.seq,bird_strike/20200427&20200506潮汕机场2个萧山机场7个样品结果/测序结果/COI/ZSHC-2020-02_COI-1_C2291.COI-1-bird-F.PW005090027.seq,ZSHC-2020-02,71556,ZSHCCOI-12020042771556
